tx,ty,tz,sx,sy,sz,s_roll,s_pitch,s_yaw
-0.04265420883893967,-0.06388368457555771,1.2275259494781494,-0.07636316490141172,-0.06939658343683296,1.2207411584630685,1.357124568469893,0.10943235603984805,-0.05443792602484876
-0.042940154671669006,-0.06182996928691864,1.2283198833465576,-0.07434903252616708,-0.06988438936125188,1.2281405422246507,1.3766384708149433,0.10035582997787987,-0.056030777975178456
-0.042663753032684326,-0.06405718624591827,1.2274291515350342,-0.08033162512891699,-0.0698989499435128,1.232848721692298,1.3903912892961008,0.1094667337387714,-0.032397445404991294
-0.0429488904774189,-0.06198344752192497,1.2282360792160034,-0.0771891027514539,-0.07003570379522843,1.2304748740389413,1.378580275338024,0.09328894465953785,-0.0499374920145587
-0.042669542133808136,-0.06419115513563156,1.2273544073104858,-0.07365280850635762,-0.0745359476115784,1.2290977230976006,1.3742011075061848,0.04696494083735462,-0.05477411151186023
-0.04295423999428749,-0.062101855874061584,1.2281715869903564,-0.06793179713277463,-0.07741774643639882,1.230955093719762,1.3800206563226358,0.01815148159931525,-0.06461029158670874
-0.04267564415931702,-0.06429561227560043,1.2272958755493164,-0.07072099169242861,-0.0770553755077458,1.2359040839659619,1.3939212999963437,0.054632320571845985,-0.049295479908620696
-0.04285614937543869,-0.0621635764837265,1.2282416820526123,-0.06760899869562692,-0.07784797307155482,1.2368690549528798,1.396628055928569,0.03440189997217649,-0.062397583690555196
-0.04258565977215767,-0.06432676315307617,1.2273709774017334,-0.06373264399461528,-0.07859913593317129,1.2349079128208162,1.3912249093169125,-0.007093505317814333,-0.07601732204429096
-0.04287641495466232,-0.062212057411670685,1.228194236755371,-0.06488969163033899,-0.07926988999384851,1.2343601474559422,1.3961225970479687,0.017364388886612743,-0.05860317351540359
-0.042609766125679016,-0.06439126282930374,1.2273143529891968,-0.06900992943272101,-0.0779896408185704,1.2367791853740917,1.4019810955968235,0.0634023397492709,-0.03575924765793032
-0.042871661484241486,-0.062255240976810455,1.22817063331604,-0.06603772035508826,-0.0786307078515709,1.2349247453710759,1.3844841369678211,0.04083194597471445,-0.052059331567077996
